flout,"v.藐視,輕蔑,嘲笑"
inveigle,v. 哄騙、誘騙
irenic,a. 和平的
jejune,a. 枯燥無味的;[記] JJ(機經)很枯燥乏味
jeopardize,v. 危及
jettison,v. 拋棄;[記] (船舶等在緊急情況時) 投棄的貨物
knotty,a. 難解決的、棘手的;[類] n. knot 結
lament,v. 抱怨、哀悼、悲嘆;[類] mourn; deplore; wail
languish,v. 變得衰弱、漸漸衰退、悶悶不樂;[例] Local beverage production languished through lack of government support.;[記] languid (無精打采的)音讀「懶鬼」→languid(動詞) 使衰弱
latent,a. 潛伏的、潛在的;[記] 音讀「拉登」→賓拉登是潛伏的
lavish,a. 大方的、慷慨給予的
lax,a. 鬆散的、不嚴格的
lay out,v. 花錢
layperson,"n. 門外漢、外行;[類] laypeople, layman"
lethal,adj. 致命的，危險的
lethargic,a. 瞌睡的、愛睡的
limpid,a. 清澈的、透明的;[類] pellucid;[反] murky (陰暗的);[例] limpid prose
lionize,v. 視為上賓、視為重要人物;[記法] lion為正面形象（獅子王辛巴），變為獅子即捧為上賓
list,v. 傾斜
loathe,"v. 痛恨;[記法] 痛恨肚子的""肉"""
lopsided,a. 傾向一邊的、不平衡的
lugubrious,a. 悲傷的(尤指誇張的)、憂鬱的;[記] lugu 音讀「露骨」→骨折露骨→悲傷
lull,v. 使人睡、暫停;[記] lullaby
lurid,a. 聳人聽聞的、可怕的
malinger,v. 裝病;[記] 沒人格
malleable,a. 可塑的、展延的
mawkish,a. 過度悲傷的、多愁善感的;[記] 音讀「馬克」→時常靠腰→過度傷感的、多愁善感的
meager,a. 瘦的、粗劣的、不足的;[類] insufficient 不足的、不夠的
mercurial,"a. 反覆無常的;[類] capricious, mutable, fickle;[記] 字源於 mercury (n. 水銀)，流動性強→善變的"
meretricious,"a. 俗氣的, 浮華的;[記] 音近：沒人氣 -> 浮華的東西很快就沒人氣"
meticulous,"a.小心翼翼的, 一絲不苟的"
modicum,"n. 些許;[記] moderate, 摸地看"
momentary,a. 瞬間的
momentous,"a. 重大的、重要的;[類] important, consequential;[反] inconsequential, inconsiderable, insignificant;;[記法]這個moment很多很重要"
mundane,a. 平凡的、乏味的;[類] prosaic;[記] 悶的電影
nadir,n. 最低點;[反] zenith(最高點); acme(頂點); summit(頂點);[記] 那樣的低→最低點
naysayer,n. 反對者、唱反調的人
nebulous,a. 模糊的;[類] obscure;[記] 源於 nebula(星雲)→朦朧的星團→模糊的
nepotism,n. 任人唯親、裙帶關係;[記] nepot(=nephew姪子)→任用姪子→任人唯親
nuance,n. 細微差異;[類] shading;[記] 音讀「六盎司」→只有細微差異
