pitfall,"陷阱，圈套;;fall, fault:錯誤"
ramification,(n.) 後果，影響;== consequence;;(記法：在LOL rampage(橫衝直撞)有後果(ramification))
suffice,(v.) 足夠，滿足
confident,自信的，有信心的;;fid:相信
diffident,(a.) 缺乏自信的，怯懦的，羞怯的;== lacking self-confidence
figure,"人像，數字;;figur, fig:形狀，形體"
configuration,(n.) 結構，配置，輪廓;(記法：con(全部)+figur(形狀)->全體的形狀->結構，佈局)
figurative,(a.) 比喻的，象徵
prefigure,(v.) 預示，預想;(記法：先前去描繪形狀的->預想)
affiliated,附屬的;;fili:兒子
affiliation,(n.) 聯繫，聯合
infinite,"無限的，無窮的;== without limits, endless;;;fin:範圍"
affinity,(n.) 喜好，本性，傾向;(記法：affi音讀(愛撫)+ni音讀(你)->愛撫妳->喜好，傾向);== relationship;
confine,(v.) 限制，使侷限;(記法：一起去範圍)
definite,"(a.) 清楚的，明確的;;== clear, not doubtful;"
fine,令人滿意的;;fine:好，精緻;
finesse,(n.) 非凡的技巧，技術
fine-tune,(v.) 進行微調
confirm,證實，證明;;firm:堅固，堅定
affirm,(v.) 確認，肯定
fixate,注視，使固定，早期停止性的成熟;;fix:固定
flame,火焰;;flam:火焰，燃燒
flamboyant,(a.) 豔麗的，炫耀的;== ornate;
inflammatory,(a.) 令人激動的，煽動的
inflate,使充氣，使膨脹;;flat:吹氣，充氣
conflate,(v.) 合併;(記法：con(共同)+flat(吹氣)+e->吹到一起->合併)
deflated,(a.) 洩氣的，氣餒的，灰心的
flexible,"彈性的，易彎曲的;;;flect, flex:彎曲"
deflect,(v.) 使傾斜，使轉向，避開
reflective,(a.) 反射的，深思熟慮的;;== thoughtful;
conflict,衝突;;flict:打擊
afflict,(v.) 使痛苦，折磨;[記法] af(一再)+flict(打擊) -> 一再打擊 -> 折磨
inflict,"(v.) 給予(打擊), 使遭受(損傷)"
profligate,"(a.) 非常浪費的;;== prodigal, extravagant;"
flourish,"昌盛，興旺;;flor, flour:花"
florid,(a.) 鮮紅的，氣色好的，華麗的
fluid,流體的，易變的;;flu:流
affluent,"(a.) 豐富的，富裕的;== rich, prosperous;"
superfluous,(a.) 多餘的，累贅的;(記法：super(超過)+flu(流)+ous(很多)->超過流很多的->多餘的)
formal,正式的;;form:形狀，形成
conformity,(n.) 一致，遵從，順從;== conform (v.) 遵照，符合
formative,(a.) 形成的，構成的;== formulation (n.) 規劃，構想，公式化
formulaic,(a.) 公式的，刻板的;
fort,要塞，堡壘;;fort:強壯
discomfit,(v.) 使尷尬，破壞；擾亂（計畫)，使為難，挫敗;== confuse or embarrass
fortify,(v.) 增強，加強
fragment,"碎片，分裂;;frac, fract, frag:碎裂"
fractious,"(a.) 易怒的，好爭吵的;== irritable, bad-tempered, choleric;(記法：玻璃心)"
fragmentary,(a.) 碎片的，片段的
frivolous,(a.) 輕浮的，草率的
refract,(v.) 折射，反射
refractory,(a.) 難醫治的，倔強的，反應遲鈍的;
suffrage,(n.) 選舉權，投票權
fraud,欺騙、騙子;;fraud:欺騙
fraudulent,"(a.) 欺騙的，不誠實的;[類] spurious, counterfeit, phony, bogus"
confront,迎面遇到，面臨;;front:前面，臉面
effrontery,(n.) 厚顏無恥，魯莽
refugee,(n.) 難民，流亡者;;fug:逃走
fugitive,(a.) 短暫的，逃跑的;(n.) 逃犯
refulgent,"(a.) 輝煌的，燦爛的;;fulg, ful:閃亮"
fulminate,(v.) 大聲斥責;(記法：ful(閃亮)->閃電->大聲斥責)
foundation,"基礎，地基;;found, fund:底"
confound,"(v.) 使混亂，使困惑;== perplex, flummox"
founder,(v.) 沈沒，失敗，破滅
profound,(a.) 深刻的，深奧的，很深的，全然的;<-> perfunctory 草率的，敷衍的
function,功能，作用;;funct:作用，功能
perfunctory,(a.) 草率的，敷衍的;(記法：per(遠離)+funct(功能)+ory->不稱職->敷衍的);<-> profound 深刻的，深奧的，很深的，全然的;
confuse,困惑，糊塗;;;fus:流
defuse,(v.) 卸除引信，緩和緊張;(記法：de(離開)+fuse(導火線))
diffuse,(v.) 四散，擴散，雜亂;== spread all around;
effusive,(a.) 熱情的，感情洋溢的;== gushy;;<-> reticent(沈默的);;(記法：ef(ex外)+fus(流)->情感外流->熱情的)
infuse,(v.) 灌輸，鼓勵
profuse,(a.) 很多的，浪費的;
