recite,背誦，朗誦;;cit:說，招喚
incubate,(v.) 孵化，孵卵
culprit,犯罪者，禍端;;culp:罪行
exculpate,(v.) 開脫，申明無罪;[類] acquittal;(記法：ex(出)+culp(罪行)+ate)
cult,迷信，狂熱者，宗派，膜拜，狂熱崇拜;;cult:宗派
occult,(a.) 難以理解的，奧秘的
succumb,屈服，因.....死亡;[類] yield;;cumb:躺
cumbersome,(a.) 笨重的，難以處理的
encumber,(v.) 妨礙，拖累;塞滿；阻塞;[類] thwart;The room was encumbered with old furniture. 這間屋子堆滿了舊傢俱。
incumbent,(a.) 負有職責的，義不容辭的
occupation,工作，佔領;;cup:獲得，掌握
covet,(v.) 貪求，覬覦
cursor,"游標;;cur, cour:跑，短"
concur,(v.) 意見相同，一致;== accord;;(記法：con(共同)+cur(跑)->一起跑)
cursory,(a.) 粗略的，草率的
curtail,(v.) 縮減，削減;== reduce
discourse,(n.) 演講，論述
discursive,(a.) 散漫的，無層次的，東拉西扯的
precursor,(n.) 先驅，先兆
procure,(v.) 取得，獲得;(記法：pre(向前)+cur(跑)+e);== acquire
excuse,藉口;;cuse:理由
accuse,(v.) 譴責，指責;== (a.) accusatory;;<-> excuse 藉口;
discuss,討論;;cuss:震動
repercussion,(n.) 反響，影響，回聲;
bicycle,腳踏車;;cycl:圓，轉
encyclopedic,(a.) 百科全書的，知識廣博的;== exhaustive 詳盡的;
cynical,憤世忌俗的，自私的;;cyn:狗，犬
cynosure,"(n.) 眾人矚目的焦點;【天】小熊座；北極星;指針；目標;(記法：from kynos oura, literally, dog's tail)"
